GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),MarbelsPerPlayer(Player1Remaining Marbles),MarbelsPerPlayer(Player0Remaining Marbles),RuleCardsUsed(Rule-Setup),RuleCardsUsed(Rule-Movement),RuleCardsUsed(Rule-Push),RuleCardsUsed(Rule-PushOut),RuleCardsUsed(Rule-PushRequirement),RuleCardsUsed(Rule-Victory),PlayerType(PlayerType-1),PlayerType(PlayerType-0),MarbelsRemoved(Player0removed marbles),MarbelsRemoved(Player1removed marbles),WhoPushedOut(Player0Pushed Marbles),WhoPushedOut(Player1Pushed Marbles),Winner(PlayerIdx)
-1870426101,MultiverseMarbles,0,GAME_OVER,71,70,2,2,MCTS-OwnColor,-1.0,1.0,MCTS-Push,2,MCTS-OwnColor,2,1,1,MCTS-Push,10,10,TWO_SIDES,MOVE_EXACTLY_2,PUSH_1,OUT_IS_GONE,EQUAL,YOUR_COLOR,MCTS-Push,MCTS-OwnColor,[],[],[],[],0
-27736578,MultiverseMarbles,0,GAME_OVER,53,52,2,3,MCTS-OwnColor,-1.0,1.0,MCTS-Push,2,MCTS-OwnColor,2,1,1,MCTS-Push,10,8,TWO_SIDES,LEAPFROG,PUSH_1,OUT_IS_GONE,MORE,ANY_THREE,MCTS-Push,MCTS-OwnColor,"[1, 1]",[],"[1, 1]",[],0
-885481282,MultiverseMarbles,0,GAME_OVER,52,51,2,4,MCTS-OwnColor,1.0,-1.0,MCTS-Push,1,MCTS-OwnColor,1,2,2,MCTS-Push,10,9,TWO_SIDES,LEAPFROG,PUSH_1,CENTER_IF_FREE,MORE,ONE_OF_EACH,MCTS-Push,MCTS-OwnColor,[1],[],"[0, 0, 1]",[],1
-976777571,MultiverseMarbles,0,GAME_OVER,200,200,2,5,MCTS-OwnColor,-3.0,-3.0,MCTS-Push,1,MCTS-OwnColor,1,1,1,MCTS-Push,10,9,TWO_SIDES,MOVE_1,PUSH_1,OUT_IS_GONE,FEWER_OR_EQUAL,ONE_OF_EACH,MCTS-Push,MCTS-OwnColor,[1],[],[1],[],-1
-642402817,MultiverseMarbles,0,GAME_OVER,36,35,2,6,MCTS-OwnColor,1.0,-1.0,MCTS-Push,1,MCTS-OwnColor,1,2,2,MCTS-Push,10,9,TWO_SIDES,MOVE_1,PUSH_1,OUT_IS_GONE,FEWER_OR_MORE,ANY_THREE,MCTS-Push,MCTS-OwnColor,[1],[],[1],[],1
1018380708,MultiverseMarbles,0,GAME_OVER,200,200,2,7,MCTS-OwnColor,-3.0,-3.0,MCTS-Push,1,MCTS-OwnColor,1,1,1,MCTS-Push,10,10,TWO_SIDES,MOVE_1,PUSH_1,CENTER_REPLACE,FEWER_OR_EQUAL,ONE_OF_EACH,MCTS-Push,MCTS-OwnColor,[],[],[],[],-1
-414762586,MultiverseMarbles,0,GAME_OVER,200,200,2,8,MCTS-OwnColor,-3.0,-3.0,MCTS-Push,1,MCTS-OwnColor,1,1,1,MCTS-Push,10,10,TWO_SIDES,MOVE_1,PUSH_1,CENTER_IF_FREE,FEWER_OR_EQUAL,ANY_THREE,MCTS-Push,MCTS-OwnColor,[],[],[],[0],-1
508514933,MultiverseMarbles,0,GAME_OVER,32,31,2,9,MCTS-OwnColor,1.0,-1.0,MCTS-Push,1,MCTS-OwnColor,1,2,2,MCTS-Push,10,7,TWO_SIDES,LEAPFROG,PUSH_1,CENTER_IF_FREE,MORE_OR_EQUAL,PUSH_OUT,MCTS-Push,MCTS-OwnColor,"[1, 1, 1]",[],"[1, 1, 1]",[],1
-702929237,MultiverseMarbles,0,GAME_OVER,79,78,2,10,MCTS-OwnColor,-1.0,1.0,MCTS-Push,2,MCTS-OwnColor,2,1,1,MCTS-Push,8,8,TWO_SIDES,MOVE_2,PUSH_1,CENTER_IF_FREE,EVEN,PUSH_OUT,MCTS-Push,MCTS-OwnColor,"[1, 1]","[0, 0]","[1, 1]","[0, 0, 0]",0
-1516021876,MultiverseMarbles,0,GAME_OVER,70,69,2,11,MCTS-OwnColor,1.0,-1.0,MCTS-Push,1,MCTS-OwnColor,1,2,2,MCTS-Push,10,7,TWO_SIDES,MOVE_2,PUSH_1,OUT_IS_GONE,MORE_OR_EQUAL,ONE_OF_EACH,MCTS-Push,MCTS-OwnColor,"[1, 0, 0]",[],"[1, 0, 0]",[],1
