Setup_TWO_SIDES,Movement_MOVE_EXACTLY_2,Movement_LEAPFROG,Movement_MOVE_1,Movement_MOVE_2,Push_PUSH_1,PushOut_OUT_IS_GONE,PushOut_CENTER_IF_FREE,PushOut_CENTER_REPLACE,PushRequirement_EQUAL,PushRequirement_MORE,PushRequirement_FEWER_OR_EQUAL,PushRequirement_FEWER_OR_MORE,PushRequirement_MORE_OR_EQUAL,PushRequirement_EVEN,PushRequirement_UNEVEN,Victory_YOUR_COLOR,Victory_ANY_THREE,Victory_ONE_OF_EACH,Victory_PUSH_OUT,total_games,player0_wins,player0_win_rate,ci_lower,ci_upper,rule_description
1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,12,2,0.16666666666666666,-0.0441957599601816,0.3775290932935149,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,24,4,0.16666666666666666,0.017564414901371422,0.31576891843196186,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,12,2,0.16666666666666666,-0.0441957599601816,0.3775290932935149,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0.16666666666666666,-0.1315378368639238,0.4648711701972571,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,24,5,0.20833333333333334,0.04585292140851313,0.3708137452581536,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,24,5,0.20833333333333334,0.04585292140851313,0.3708137452581536,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,36,8,0.2222222222222222,0.08641391707264953,0.35803052737179486,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,30,7,0.23333333333333334,0.08198169469496736,0.3846849719716993,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,36,9,0.25,0.10854918404854169,0.3914508159514583,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: FEWER_OR_EQUAL | Victory: ONE_OF_EACH
1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,24,6,0.25,0.07675883860929586,0.4232411613907041,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,24,6,0.25,0.07675883860929586,0.4232411613907041,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,12,3,0.25,0.0050000000000000044,0.495,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,24,6,0.25,0.07675883860929586,0.4232411613907041,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,12,3,0.25,0.0050000000000000044,0.495,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: EQUAL | Victory: YOUR_COLOR
1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,30,8,0.26666666666666666,0.10842147482583778,0.4249118585074956,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: EQUAL | Victory: YOUR_COLOR
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,30,8,0.26666666666666666,0.10842147482583778,0.4249118585074956,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,18,5,0.2777777777777778,0.0708570524820083,0.4846985030735473,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: EVEN | Victory: ONE_OF_EACH
1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,18,5,0.2777777777777778,0.0708570524820083,0.4846985030735473,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: EVEN | Victory: YOUR_COLOR
1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,42,12,0.2857142857142857,0.14908827550149106,0.42234029592708033,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,24,7,0.2916666666666667,0.1098169245615328,0.47351640877180057,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,24,7,0.2916666666666667,0.1098169245615328,0.47351640877180057,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,30,9,0.3,0.1360146347993212,0.4639853652006788,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,30,9,0.3,0.1360146347993212,0.4639853652006788,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: EQUAL | Victory: PUSH_OUT
