Rule Combination,First Player Win Rate,Polarization,Number of Games
pushrequirement: EQUAL + victory: PUSH_OUT,0.2534722222222222,0.2465277777777778,288.0
pushrequirement: FEWER_OR_EQUAL + victory: PUSH_OUT,0.2857142857142857,0.2142857142857143,252.0
pushrequirement: UNEVEN + victory: PUSH_OUT,0.3655913978494624,0.13440860215053763,372.0
movement: MOVE_1 + pushrequirement: EQUAL,0.3741496598639456,0.1258503401360544,294.0
pushout: CENTER_IF_FREE + pushrequirement: EQUAL,0.3756218905472637,0.12437810945273631,402.0
movement: MOVE_1 + pushrequirement: FEWER_OR_EQUAL,0.3766666666666666,0.1233333333333334,300.0
pushout: OUT_IS_GONE + pushrequirement: FEWER_OR_EQUAL,0.3787878787878788,0.12121212121212122,396.0
movement: MOVE_EXACTLY_2 + pushrequirement: FEWER_OR_EQUAL,0.3897849462365591,0.11021505376344087,372.0
pushrequirement: EQUAL + victory: YOUR_COLOR,0.3974358974358974,0.10256410256410259,390.0
pushrequirement: FEWER_OR_EQUAL + victory: YOUR_COLOR,0.3988095238095238,0.10119047619047622,336.0
push: PUSH_1 + pushrequirement: FEWER_OR_EQUAL,0.401294498381877,0.09870550161812303,1236.0
pushrequirement: FEWER_OR_EQUAL,0.401294498381877,0.09870550161812303,1236.0
pushout: CENTER_IF_FREE + victory: PUSH_OUT,0.4014598540145985,0.0985401459854015,822.0
movement: MOVE_2 + pushrequirement: FEWER_OR_EQUAL,0.4051724137931034,0.09482758620689657,348.0
pushout: CENTER_IF_FREE + pushrequirement: FEWER_OR_EQUAL,0.4054726368159204,0.09452736318407962,402.0
movement: MOVE_EXACTLY_2 + pushrequirement: EQUAL,0.4068627450980392,0.09313725490196079,408.0
pushrequirement: EQUAL,0.4102564102564102,0.08974358974358981,1326.0
push: PUSH_1 + pushrequirement: EQUAL,0.4102564102564102,0.08974358974358981,1326.0
movement: MOVE_1 + victory: PUSH_OUT,0.4114583333333333,0.08854166666666669,576.0
pushout: CENTER_REPLACE + pushrequirement: EQUAL,0.4156378600823045,0.08436213991769548,486.0
pushout: CENTER_REPLACE + pushrequirement: FEWER_OR_EQUAL,0.4178082191780822,0.0821917808219178,438.0
movement: MOVE_2 + pushrequirement: EQUAL,0.4183006535947712,0.0816993464052288,306.0
pushout: OUT_IS_GONE + victory: PUSH_OUT,0.4213333333333333,0.07866666666666672,750.0
movement: MOVE_EXACTLY_2 + victory: PUSH_OUT,0.421875,0.078125,576.0
push: PUSH_1 + victory: PUSH_OUT,0.4220833333333333,0.07791666666666669,2400.0
victory: PUSH_OUT,0.4220833333333333,0.07791666666666669,2400.0
movement: MOVE_2 + victory: PUSH_OUT,0.4221183800623053,0.07788161993769471,642.0
pushrequirement: FEWER_OR_EQUAL + victory: ONE_OF_EACH,0.431547619047619,0.06845238095238099,336.0
movement: LEAPFROG + victory: PUSH_OUT,0.4323432343234323,0.0676567656765677,606.0
pushout: OUT_IS_GONE + pushrequirement: EQUAL,0.4360730593607306,0.0639269406392694,438.0
