rule_type,rule_value,combination,player0_win_rate,total_games,player0_wins,polarization
pushrequirement_victory,EQUAL_PUSH_OUT,pushrequirement: EQUAL + victory: PUSH_OUT,0.2534722222222222,288.0,73.0,0.2465277777777778
pushrequirement_victory,FEWER_OR_EQUAL_PUSH_OUT,pushrequirement: FEWER_OR_EQUAL + victory: PUSH_OUT,0.2857142857142857,252.0,72.0,0.2142857142857143
pushrequirement_victory,UNEVEN_PUSH_OUT,pushrequirement: UNEVEN + victory: PUSH_OUT,0.3655913978494624,372.0,136.0,0.13440860215053763
movement_pushrequirement,MOVE_1_EQUAL,movement: MOVE_1 + pushrequirement: EQUAL,0.3741496598639456,294.0,110.0,0.1258503401360544
pushout_pushrequirement,CENTER_IF_FREE_EQUAL,pushout: CENTER_IF_FREE + pushrequirement: EQUAL,0.3756218905472637,402.0,151.0,0.12437810945273631
movement_pushrequirement,MOVE_1_FEWER_OR_EQUAL,movement: MOVE_1 + pushrequirement: FEWER_OR_EQUAL,0.3766666666666666,300.0,113.0,0.1233333333333334
pushout_pushrequirement,OUT_IS_GONE_FEWER_OR_EQUAL,pushout: OUT_IS_GONE + pushrequirement: FEWER_OR_EQUAL,0.3787878787878788,396.0,150.0,0.12121212121212122
movement_pushrequirement,MOVE_EXACTLY_2_FEWER_OR_EQUAL,movement: MOVE_EXACTLY_2 + pushrequirement: FEWER_OR_EQUAL,0.3897849462365591,372.0,145.0,0.11021505376344087
pushrequirement_victory,EQUAL_YOUR_COLOR,pushrequirement: EQUAL + victory: YOUR_COLOR,0.3974358974358974,390.0,155.0,0.10256410256410259
pushrequirement_victory,FEWER_OR_EQUAL_YOUR_COLOR,pushrequirement: FEWER_OR_EQUAL + victory: YOUR_COLOR,0.3988095238095238,336.0,134.0,0.10119047619047622
push_pushrequirement,PUSH_1_FEWER_OR_EQUAL,push: PUSH_1 + pushrequirement: FEWER_OR_EQUAL,0.401294498381877,1236.0,496.0,0.09870550161812303
pushrequirement,FEWER_OR_EQUAL,pushrequirement: FEWER_OR_EQUAL,0.401294498381877,1236.0,496.0,0.09870550161812303
pushout_victory,CENTER_IF_FREE_PUSH_OUT,pushout: CENTER_IF_FREE + victory: PUSH_OUT,0.4014598540145985,822.0,330.0,0.0985401459854015
movement_pushrequirement,MOVE_2_FEWER_OR_EQUAL,movement: MOVE_2 + pushrequirement: FEWER_OR_EQUAL,0.4051724137931034,348.0,141.0,0.09482758620689657
pushout_pushrequirement,CENTER_IF_FREE_FEWER_OR_EQUAL,pushout: CENTER_IF_FREE + pushrequirement: FEWER_OR_EQUAL,0.4054726368159204,402.0,163.0,0.09452736318407962
movement_pushrequirement,MOVE_EXACTLY_2_EQUAL,movement: MOVE_EXACTLY_2 + pushrequirement: EQUAL,0.4068627450980392,408.0,166.0,0.09313725490196079
pushrequirement,EQUAL,pushrequirement: EQUAL,0.4102564102564102,1326.0,544.0,0.08974358974358981
push_pushrequirement,PUSH_1_EQUAL,push: PUSH_1 + pushrequirement: EQUAL,0.4102564102564102,1326.0,544.0,0.08974358974358981
movement_victory,MOVE_1_PUSH_OUT,movement: MOVE_1 + victory: PUSH_OUT,0.4114583333333333,576.0,237.0,0.08854166666666669
pushout_pushrequirement,CENTER_REPLACE_EQUAL,pushout: CENTER_REPLACE + pushrequirement: EQUAL,0.4156378600823045,486.0,202.0,0.08436213991769548
pushout_pushrequirement,CENTER_REPLACE_FEWER_OR_EQUAL,pushout: CENTER_REPLACE + pushrequirement: FEWER_OR_EQUAL,0.4178082191780822,438.0,183.0,0.0821917808219178
movement_pushrequirement,MOVE_2_EQUAL,movement: MOVE_2 + pushrequirement: EQUAL,0.4183006535947712,306.0,128.0,0.0816993464052288
pushout_victory,OUT_IS_GONE_PUSH_OUT,pushout: OUT_IS_GONE + victory: PUSH_OUT,0.4213333333333333,750.0,316.0,0.07866666666666672
movement_victory,MOVE_EXACTLY_2_PUSH_OUT,movement: MOVE_EXACTLY_2 + victory: PUSH_OUT,0.421875,576.0,243.0,0.078125
push_victory,PUSH_1_PUSH_OUT,push: PUSH_1 + victory: PUSH_OUT,0.4220833333333333,2400.0,1013.0,0.07791666666666669
victory,PUSH_OUT,victory: PUSH_OUT,0.4220833333333333,2400.0,1013.0,0.07791666666666669
movement_victory,MOVE_2_PUSH_OUT,movement: MOVE_2 + victory: PUSH_OUT,0.4221183800623053,642.0,271.0,0.07788161993769471
pushrequirement_victory,FEWER_OR_EQUAL_ONE_OF_EACH,pushrequirement: FEWER_OR_EQUAL + victory: ONE_OF_EACH,0.431547619047619,336.0,145.0,0.06845238095238099
movement_victory,LEAPFROG_PUSH_OUT,movement: LEAPFROG + victory: PUSH_OUT,0.4323432343234323,606.0,262.0,0.0676567656765677
pushout_pushrequirement,OUT_IS_GONE_EQUAL,pushout: OUT_IS_GONE + pushrequirement: EQUAL,0.4360730593607306,438.0,191.0,0.0639269406392694
movement_pushrequirement,LEAPFROG_EQUAL,movement: LEAPFROG + pushrequirement: EQUAL,0.440251572327044,318.0,140.0,0.05974842767295602
pushout_victory,CENTER_REPLACE_PUSH_OUT,pushout: CENTER_REPLACE + victory: PUSH_OUT,0.4432367149758454,828.0,367.0,0.05676328502415462
movement_pushrequirement,LEAPFROG_UNEVEN,movement: LEAPFROG + pushrequirement: UNEVEN,0.4462365591397849,372.0,166.0,0.05376344086021512
pushrequirement_victory,FEWER_OR_MORE_ANY_THREE,pushrequirement: FEWER_OR_MORE + victory: ANY_THREE,0.5510752688172043,372.0,205.0,0.051075268817204256
movement_pushrequirement,LEAPFROG_FEWER_OR_EQUAL,movement: LEAPFROG + pushrequirement: FEWER_OR_EQUAL,0.449074074074074,216.0,97.0,0.050925925925925986
pushout_victory,OUT_IS_GONE_YOUR_COLOR,pushout: OUT_IS_GONE + victory: YOUR_COLOR,0.4525547445255474,822.0,372.0,0.04744525547445261
movement_pushout,MOVE_1_CENTER_REPLACE,movement: MOVE_1 + pushout: CENTER_REPLACE,0.4530516431924882,852.0,386.0,0.046948356807511804
movement_pushout,MOVE_EXACTLY_2_OUT_IS_GONE,movement: MOVE_EXACTLY_2 + pushout: OUT_IS_GONE,0.4563218390804597,870.0,397.0,0.0436781609195403
movement_pushrequirement,LEAPFROG_FEWER_OR_MORE,movement: LEAPFROG + pushrequirement: FEWER_OR_MORE,0.5433333333333333,300.0,163.0,0.043333333333333335
movement_victory,MOVE_EXACTLY_2_YOUR_COLOR,movement: MOVE_EXACTLY_2 + victory: YOUR_COLOR,0.4566929133858268,762.0,348.0,0.04330708661417321
movement_pushout,MOVE_EXACTLY_2_CENTER_IF_FREE,movement: MOVE_EXACTLY_2 + pushout: CENTER_IF_FREE,0.4583333333333333,888.0,407.0,0.041666666666666685
movement_pushrequirement,MOVE_2_MORE,movement: MOVE_2 + pushrequirement: MORE,0.4613095238095238,336.0,155.0,0.03869047619047622
pushrequirement_victory,FEWER_OR_MORE_PUSH_OUT,pushrequirement: FEWER_OR_MORE + victory: PUSH_OUT,0.4619883040935672,342.0,158.0,0.038011695906432774
movement_push,MOVE_1_PUSH_1,movement: MOVE_1 + push: PUSH_1,0.4638211382113821,2460.0,1141.0,0.0361788617886179
movement,MOVE_1,movement: MOVE_1,0.4638211382113821,2460.0,1141.0,0.0361788617886179
movement_pushout,MOVE_2_CENTER_REPLACE,movement: MOVE_2 + pushout: CENTER_REPLACE,0.4645390070921986,846.0,393.0,0.035460992907801414
pushrequirement_victory,FEWER_OR_EQUAL_ANY_THREE,pushrequirement: FEWER_OR_EQUAL + victory: ANY_THREE,0.4647435897435897,312.0,145.0,0.0352564102564103
pushout_victory,CENTER_REPLACE_ONE_OF_EACH,pushout: CENTER_REPLACE + victory: ONE_OF_EACH,0.4650900900900901,888.0,413.0,0.034909909909909886
movement_pushout,MOVE_1_OUT_IS_GONE,movement: MOVE_1 + pushout: OUT_IS_GONE,0.4666666666666667,750.0,350.0,0.033333333333333326
pushout_pushrequirement,CENTER_IF_FREE_FEWER_OR_MORE,pushout: CENTER_IF_FREE + pushrequirement: FEWER_OR_MORE,0.532520325203252,492.0,262.0,0.03252032520325199
movement,MOVE_EXACTLY_2,movement: MOVE_EXACTLY_2,0.4685393258426966,2670.0,1251.0,0.031460674157303414
movement_push,MOVE_EXACTLY_2_PUSH_1,movement: MOVE_EXACTLY_2 + push: PUSH_1,0.4685393258426966,2670.0,1251.0,0.031460674157303414
movement_victory,MOVE_1_YOUR_COLOR,movement: MOVE_1 + victory: YOUR_COLOR,0.4689922480620155,516.0,242.0,0.031007751937984496
push_pushout,PUSH_1_CENTER_REPLACE,push: PUSH_1 + pushout: CENTER_REPLACE,0.4699404761904762,3360.0,1579.0,0.030059523809523814
pushout,CENTER_REPLACE,pushout: CENTER_REPLACE,0.4699404761904762,3360.0,1579.0,0.030059523809523814
movement_pushrequirement,MOVE_1_UNEVEN,movement: MOVE_1 + pushrequirement: UNEVEN,0.4699453551912568,366.0,172.0,0.030054644808743203
movement_pushrequirement,LEAPFROG_MORE_OR_EQUAL,movement: LEAPFROG + pushrequirement: MORE_OR_EQUAL,0.4702380952380952,336.0,158.0,0.029761904761904823
movement_pushout,LEAPFROG_CENTER_REPLACE,movement: LEAPFROG + pushout: CENTER_REPLACE,0.4706666666666667,750.0,353.0,0.029333333333333322
movement_pushout,MOVE_1_CENTER_IF_FREE,movement: MOVE_1 + pushout: CENTER_IF_FREE,0.472027972027972,858.0,405.0,0.027972027972028024
pushrequirement_victory,FEWER_OR_MORE_YOUR_COLOR,pushrequirement: FEWER_OR_MORE + victory: YOUR_COLOR,0.5277777777777778,360.0,190.0,0.02777777777777779
push,PUSH_1,push: PUSH_1,0.4724889955982393,9996.0,4723.0,0.027511004401760686
movement_victory,MOVE_2_YOUR_COLOR,movement: MOVE_2 + victory: YOUR_COLOR,0.4725085910652921,582.0,275.0,0.027491408934707917
pushout_pushrequirement,CENTER_IF_FREE_UNEVEN,pushout: CENTER_IF_FREE + pushrequirement: UNEVEN,0.4727564102564102,624.0,295.0,0.027243589743589813
movement_victory,MOVE_EXACTLY_2_ONE_OF_EACH,movement: MOVE_EXACTLY_2 + victory: ONE_OF_EACH,0.473015873015873,630.0,298.0,0.026984126984127
push_pushout,PUSH_1_CENTER_IF_FREE,push: PUSH_1 + pushout: CENTER_IF_FREE,0.4737463126843658,3390.0,1606.0,0.02625368731563421
pushout,CENTER_IF_FREE,pushout: CENTER_IF_FREE,0.4737463126843658,3390.0,1606.0,0.02625368731563421
push_pushout,PUSH_1_OUT_IS_GONE,push: PUSH_1 + pushout: OUT_IS_GONE,0.4738139248305607,3246.0,1538.0,0.026186075169439327
pushout,OUT_IS_GONE,pushout: OUT_IS_GONE,0.4738139248305607,3246.0,1538.0,0.026186075169439327
pushout_pushrequirement,CENTER_REPLACE_UNEVEN,pushout: CENTER_REPLACE + pushrequirement: UNEVEN,0.4743589743589743,468.0,222.0,0.025641025641025716
pushrequirement_victory,UNEVEN_YOUR_COLOR,pushrequirement: UNEVEN + victory: YOUR_COLOR,0.5252525252525253,396.0,208.0,0.025252525252525304
movement_push,MOVE_2_PUSH_1,movement: MOVE_2 + push: PUSH_1,0.4748062015503876,2580.0,1225.0,0.025193798449612392
movement,MOVE_2,movement: MOVE_2,0.4748062015503876,2580.0,1225.0,0.025193798449612392
movement_pushout,MOVE_2_OUT_IS_GONE,movement: MOVE_2 + pushout: OUT_IS_GONE,0.4750566893424036,882.0,419.0,0.024943310657596418
movement_victory,MOVE_1_ONE_OF_EACH,movement: MOVE_1 + victory: ONE_OF_EACH,0.4752066115702479,726.0,345.0,0.024793388429752095
push_pushrequirement,PUSH_1_UNEVEN,push: PUSH_1 + pushrequirement: UNEVEN,0.4755639097744361,1596.0,759.0,0.024436090225563922
pushrequirement,UNEVEN,pushrequirement: UNEVEN,0.4755639097744361,1596.0,759.0,0.024436090225563922
victory,YOUR_COLOR,victory: YOUR_COLOR,0.4759083728278041,2532.0,1205.0,0.024091627172195873
push_victory,PUSH_1_YOUR_COLOR,push: PUSH_1 + victory: YOUR_COLOR,0.4759083728278041,2532.0,1205.0,0.024091627172195873
pushrequirement_victory,EVEN_ONE_OF_EACH,pushrequirement: EVEN + victory: ONE_OF_EACH,0.4769230769230769,390.0,186.0,0.023076923076923106
pushout_pushrequirement,OUT_IS_GONE_MORE_OR_EQUAL,pushout: OUT_IS_GONE + pushrequirement: MORE_OR_EQUAL,0.5229166666666667,480.0,251.0,0.022916666666666696
pushrequirement_victory,MORE_OR_EQUAL_YOUR_COLOR,pushrequirement: MORE_OR_EQUAL + victory: YOUR_COLOR,0.4774011299435028,354.0,169.0,0.02259887005649719
movement_pushrequirement,LEAPFROG_EVEN,movement: LEAPFROG + pushrequirement: EVEN,0.5224358974358975,312.0,163.0,0.022435897435897467
pushrequirement_victory,UNEVEN_ONE_OF_EACH,pushrequirement: UNEVEN + victory: ONE_OF_EACH,0.5223880597014925,402.0,210.0,0.02238805970149249
pushout_pushrequirement,CENTER_IF_FREE_EVEN,pushout: CENTER_IF_FREE + pushrequirement: EVEN,0.5208333333333334,432.0,225.0,0.02083333333333337
pushrequirement_victory,MORE_PUSH_OUT,pushrequirement: MORE + victory: PUSH_OUT,0.4794871794871795,390.0,187.0,0.020512820512820495
pushout_victory,CENTER_REPLACE_YOUR_COLOR,pushout: CENTER_REPLACE + victory: YOUR_COLOR,0.4800469483568075,852.0,409.0,0.0199530516431925
pushout_pushrequirement,OUT_IS_GONE_UNEVEN,pushout: OUT_IS_GONE + pushrequirement: UNEVEN,0.4801587301587302,504.0,242.0,0.019841269841269826
movement_pushrequirement,MOVE_2_EVEN,movement: MOVE_2 + pushrequirement: EVEN,0.5196078431372549,408.0,212.0,0.019607843137254943
pushrequirement_victory,EVEN_ANY_THREE,pushrequirement: EVEN + victory: ANY_THREE,0.5192307692307693,312.0,162.0,0.019230769230769273
movement_pushout,LEAPFROG_CENTER_IF_FREE,movement: LEAPFROG + pushout: CENTER_IF_FREE,0.4810606060606061,792.0,381.0,0.018939393939393923
pushrequirement_victory,UNEVEN_ANY_THREE,pushrequirement: UNEVEN + victory: ANY_THREE,0.4812206572769953,426.0,205.0,0.01877934272300469
pushrequirement_victory,FEWER_OR_MORE_ONE_OF_EACH,pushrequirement: FEWER_OR_MORE + victory: ONE_OF_EACH,0.4817708333333333,384.0,185.0,0.018229166666666685
movement_pushrequirement,MOVE_1_EVEN,movement: MOVE_1 + pushrequirement: EVEN,0.4821428571428571,336.0,162.0,0.017857142857142905
pushout_pushrequirement,CENTER_IF_FREE_MORE_OR_EQUAL,pushout: CENTER_IF_FREE + pushrequirement: MORE_OR_EQUAL,0.4823529411764706,510.0,246.0,0.017647058823529405
