rule_type,rule_value,combination,player0_win_rate,total_games,player0_wins
pushrequirement_victory,FEWER_OR_MORE_ANY_THREE,pushrequirement: FEWER_OR_MORE + victory: ANY_THREE,0.5510752688172043,372.0,205.0
movement_pushrequirement,LEAPFROG_FEWER_OR_MORE,movement: LEAPFROG + pushrequirement: FEWER_OR_MORE,0.5433333333333333,300.0,163.0
pushout_pushrequirement,CENTER_IF_FREE_FEWER_OR_MORE,pushout: CENTER_IF_FREE + pushrequirement: FEWER_OR_MORE,0.532520325203252,492.0,262.0
pushrequirement_victory,FEWER_OR_MORE_YOUR_COLOR,pushrequirement: FEWER_OR_MORE + victory: YOUR_COLOR,0.5277777777777778,360.0,190.0
pushrequirement_victory,UNEVEN_YOUR_COLOR,pushrequirement: UNEVEN + victory: YOUR_COLOR,0.5252525252525253,396.0,208.0
pushout_pushrequirement,OUT_IS_GONE_MORE_OR_EQUAL,pushout: OUT_IS_GONE + pushrequirement: MORE_OR_EQUAL,0.5229166666666667,480.0,251.0
movement_pushrequirement,LEAPFROG_EVEN,movement: LEAPFROG + pushrequirement: EVEN,0.5224358974358975,312.0,163.0
pushrequirement_victory,UNEVEN_ONE_OF_EACH,pushrequirement: UNEVEN + victory: ONE_OF_EACH,0.5223880597014925,402.0,210.0
pushout_pushrequirement,CENTER_IF_FREE_EVEN,pushout: CENTER_IF_FREE + pushrequirement: EVEN,0.5208333333333334,432.0,225.0
movement_pushrequirement,MOVE_2_EVEN,movement: MOVE_2 + pushrequirement: EVEN,0.5196078431372549,408.0,212.0
pushrequirement_victory,EVEN_ANY_THREE,pushrequirement: EVEN + victory: ANY_THREE,0.5192307692307693,312.0,162.0
pushout_victory,OUT_IS_GONE_ANY_THREE,pushout: OUT_IS_GONE + victory: ANY_THREE,0.5176151761517616,738.0,382.0
pushrequirement_victory,EVEN_PUSH_OUT,pushrequirement: EVEN + victory: PUSH_OUT,0.5174129353233831,402.0,208.0
pushrequirement_victory,MORE_OR_EQUAL_ANY_THREE,pushrequirement: MORE_OR_EQUAL + victory: ANY_THREE,0.5163934426229508,366.0,189.0
movement_victory,MOVE_EXACTLY_2_ANY_THREE,movement: MOVE_EXACTLY_2 + victory: ANY_THREE,0.5156695156695157,702.0,362.0
pushrequirement_victory,EVEN_YOUR_COLOR,pushrequirement: EVEN + victory: YOUR_COLOR,0.5106382978723404,282.0,144.0
pushrequirement_victory,MORE_ONE_OF_EACH,pushrequirement: MORE + victory: ONE_OF_EACH,0.5104166666666666,384.0,196.0
movement_pushrequirement,MOVE_2_MORE_OR_EQUAL,movement: MOVE_2 + pushrequirement: MORE_OR_EQUAL,0.5089285714285714,336.0,171.0
pushout_pushrequirement,CENTER_REPLACE_EVEN,pushout: CENTER_REPLACE + pushrequirement: EVEN,0.5078431372549019,510.0,259.0
movement_pushrequirement,LEAPFROG_MORE,movement: LEAPFROG + pushrequirement: MORE,0.5069444444444444,432.0,219.0
movement_pushrequirement,MOVE_EXACTLY_2_MORE_OR_EQUAL,movement: MOVE_EXACTLY_2 + pushrequirement: MORE_OR_EQUAL,0.5067567567567568,444.0,225.0
push_pushrequirement,PUSH_1_FEWER_OR_MORE,push: PUSH_1 + pushrequirement: FEWER_OR_MORE,0.5061728395061729,1458.0,738.0
pushrequirement,FEWER_OR_MORE,pushrequirement: FEWER_OR_MORE,0.5061728395061729,1458.0,738.0
movement_victory,LEAPFROG_YOUR_COLOR,movement: LEAPFROG + victory: YOUR_COLOR,0.5059523809523809,672.0,340.0
pushrequirement_victory,MORE_OR_EQUAL_PUSH_OUT,pushrequirement: MORE_OR_EQUAL + victory: PUSH_OUT,0.5056497175141242,354.0,179.0
push_pushrequirement,PUSH_1_EVEN,push: PUSH_1 + pushrequirement: EVEN,0.5050505050505051,1386.0,700.0
pushrequirement,EVEN,pushrequirement: EVEN,0.5050505050505051,1386.0,700.0
movement_pushrequirement,MOVE_1_MORE,movement: MOVE_1 + pushrequirement: MORE,0.5049019607843137,408.0,206.0
movement_victory,LEAPFROG_ANY_THREE,movement: LEAPFROG + victory: ANY_THREE,0.5043290043290043,462.0,233.0
movement_victory,MOVE_2_ONE_OF_EACH,movement: MOVE_2 + victory: ONE_OF_EACH,0.504,750.0,378.0
movement_pushrequirement,MOVE_EXACTLY_2_MORE,movement: MOVE_EXACTLY_2 + pushrequirement: MORE,0.5030864197530864,324.0,163.0
push_victory,PUSH_1_ANY_THREE,push: PUSH_1 + victory: ANY_THREE,0.5029021558872305,2412.0,1213.0
victory,ANY_THREE,victory: ANY_THREE,0.5029021558872305,2412.0,1213.0
movement_pushout,LEAPFROG_OUT_IS_GONE,movement: LEAPFROG + pushout: OUT_IS_GONE,0.5,744.0,372.0
