Setup_TWO_SIDES,Movement_MOVE_EXACTLY_2,Movement_LEAPFROG,Movement_MOVE_1,Movement_MOVE_2,Push_PUSH_1,PushOut_OUT_IS_GONE,PushOut_CENTER_IF_FREE,PushOut_CENTER_REPLACE,PushRequirement_EQUAL,PushRequirement_MORE,PushRequirement_FEWER_OR_EQUAL,PushRequirement_FEWER_OR_MORE,PushRequirement_MORE_OR_EQUAL,PushRequirement_EVEN,PushRequirement_UNEVEN,Victory_YOUR_COLOR,Victory_ANY_THREE,Victory_ONE_OF_EACH,Victory_PUSH_OUT,total_games,player0_wins,player0_win_rate,ci_lower,ci_upper,rule_description
1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0.0,0.0,0.0,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: FEWER_OR_EQUAL | Victory: ONE_OF_EACH
1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,10,0,0.0,0.0,0.0,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: EQUAL | Victory: YOUR_COLOR
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8,0,0.0,0.0,0.0,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,10,1,0.1,-0.08594192641790072,0.2859419264179007,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: FEWER_OR_EQUAL | Victory: ANY_THREE
1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,10,1,0.1,-0.08594192641790072,0.2859419264179007,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,8,1,0.125,-0.1041765149399039,0.3541765149399039,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,8,1,0.125,-0.1041765149399039,0.3541765149399039,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,8,1,0.125,-0.1041765149399039,0.3541765149399039,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: FEWER_OR_EQUAL | Victory: ONE_OF_EACH
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,8,1,0.125,-0.1041765149399039,0.3541765149399039,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: FEWER_OR_EQUAL | Victory: YOUR_COLOR
1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,8,1,0.125,-0.1041765149399039,0.3541765149399039,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,8,1,0.125,-0.1041765149399039,0.3541765149399039,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: UNEVEN | Victory: YOUR_COLOR
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,14,2,0.14285714285714285,-0.04044588494109075,0.32616017065537645,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: FEWER_OR_EQUAL | Victory: ANY_THREE
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,12,2,0.16666666666666666,-0.0441957599601816,0.3775290932935149,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: FEWER_OR_EQUAL | Victory: PUSH_OUT
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,12,2,0.16666666666666666,-0.0441957599601816,0.3775290932935149,Setup: TWO_SIDES | Movement: MOVE_1 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: EQUAL | Victory: YOUR_COLOR
1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0.16666666666666666,-0.1315378368639238,0.4648711701972571,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: CENTER_REPLACE | PushRequirement: MORE_OR_EQUAL | Victory: ANY_THREE
1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,6,1,0.16666666666666666,-0.1315378368639238,0.4648711701972571,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: FEWER_OR_EQUAL | Victory: ANY_THREE
1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,16,3,0.1875,-0.003753063700950937,0.37875306370095096,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: FEWER_OR_EQUAL | Victory: YOUR_COLOR
1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,10,2,0.2,-0.04792256855720095,0.447922568557201,Setup: TWO_SIDES | Movement: LEAPFROG | Push: PUSH_1 | PushOut: CENTER_IF_FREE | PushRequirement: EQUAL | Victory: PUSH_OUT
1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,10,2,0.2,-0.04792256855720095,0.447922568557201,Setup: TWO_SIDES | Movement: MOVE_2 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: FEWER_OR_MORE | Victory: YOUR_COLOR
1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,10,2,0.2,-0.04792256855720095,0.447922568557201,Setup: TWO_SIDES | Movement: MOVE_EXACTLY_2 | Push: PUSH_1 | PushOut: OUT_IS_GONE | PushRequirement: FEWER_OR_EQUAL | Victory: ONE_OF_EACH
