Rule Combination,First Player Win Rate,Polarization,Number of Games
movement: Move 1 marble by 1 space in any direction. + pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,0.1666666666666666,0.33333333333333337,18.0
movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,0.2333333333333333,0.2666666666666667,30.0
pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent. + victory: Push out 3 opposing marbles.,0.2619047619047619,0.23809523809523808,42.0
pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent. + victory: Push out 3 opposing marbles.,0.2777777777777778,0.2222222222222222,36.0
"pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent. + victory: Occupy 1 goal of each color.",0.6944444444444444,0.19444444444444442,36.0
movement: Jump over 1 marble or blocker or move a marble by 1 space in any direction + pushrequirement: You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.,0.3333333333333333,0.16666666666666669,18.0
"pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.",0.3333333333333333,0.16666666666666669,48.0
movement: Move 1 marble by 1 space in any direction. + pushrequirement: You can push opposing marbles if you use more marbles.,0.6666666666666666,0.16666666666666663,12.0
"pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + victory: Occupy 3 non-neighbouring goals.",0.6666666666666666,0.16666666666666663,54.0
pushout: Pushed out marbles return to the center. Remove any pre-existing marble. + pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,0.6666666666666666,0.16666666666666663,30.0
movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + victory: Push out 3 opposing marbles.,0.3518518518518518,0.1481481481481482,54.0
"movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.",0.6458333333333334,0.14583333333333337,48.0
movement: Jump over 1 marble or blocker or move a marble by 1 space in any direction + victory: Push out 3 opposing marbles.,0.3541666666666667,0.14583333333333331,48.0
movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + pushrequirement: You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.,0.6428571428571429,0.1428571428571429,42.0
movement: Move 1 marble exactly 2 spaces in any direction. + pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,0.6388888888888888,0.13888888888888884,36.0
pushrequirement: You can push opposing marbles if you use more marbles. + victory: Occupy 1 goal of each color.,0.6388888888888888,0.13888888888888884,36.0
movement: Jump over 1 marble or blocker or move a marble by 1 space in any direction + pushrequirement: You can push opposing marbles if you use fewer or more marbles.,0.3666666666666666,0.13333333333333341,30.0
movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + pushrequirement: You can push opposing marbles if you use fewer or more marbles.,0.6333333333333333,0.1333333333333333,30.0
pushrequirement: You can push opposing marbles if you use fewer or more marbles. + victory: Occupy 1 goal of each color.,0.375,0.125,24.0
pushout: Pushed out marbles return to the center. Remove any pre-existing marble. + pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,0.375,0.125,24.0
"pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.",0.625,0.125,24.0
"movement: Move 1 marble exactly 2 spaces in any direction. + pushrequirement: You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent.",0.625,0.125,48.0
pushout: Pushed out marbles are removed from play + pushrequirement: You can push opposing marbles if you use fewer or more marbles.,0.625,0.125,24.0
movement: Move 1 marble exactly 2 spaces in any direction. + victory: Occupy 1 goal of each color.,0.6212121212121212,0.12121212121212122,66.0
pushout: Pushed out marbles are removed from play + victory: Push out 3 opposing marbles.,0.3809523809523809,0.11904761904761912,84.0
"pushrequirement: You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent. + victory: Occupy all goals of your color.",0.6190476190476191,0.11904761904761907,42.0
"pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent. + victory: Occupy 3 non-neighbouring goals.",0.6190476190476191,0.11904761904761907,42.0
movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + victory: Occupy 1 goal of each color.,0.6111111111111112,0.11111111111111116,72.0
pushout: Pushed out marbles are removed from play + pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,0.3888888888888889,0.1111111111111111,54.0
"pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + victory: Push out 3 opposing marbles.",0.3888888888888889,0.1111111111111111,90.0
