rule_type,rule_value,combination,player0_win_rate,total_games,player0_wins,polarization
movement_pushrequirement,Move 1 marble by 1 space in any direction._You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,movement: Move 1 marble by 1 space in any direction. + pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,0.1666666666666666,18.0,3.0,0.33333333333333337
movement_pushrequirement,Move 1 marble by up to 3 spaces in any direction in a straight line._You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent.,0.2333333333333333,30.0,7.0,0.2666666666666667
pushrequirement_victory,You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent._Push out 3 opposing marbles.,pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent. + victory: Push out 3 opposing marbles.,0.2619047619047619,42.0,11.0,0.23809523809523808
pushrequirement_victory,You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent._Push out 3 opposing marbles.,pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent. + victory: Push out 3 opposing marbles.,0.2777777777777778,36.0,10.0,0.2222222222222222
pushrequirement_victory,"You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent._Occupy 1 goal of each color.","pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent. + victory: Occupy 1 goal of each color.",0.6944444444444444,36.0,25.0,0.19444444444444442
movement_pushrequirement,Jump over 1 marble or blocker or move a marble by 1 space in any direction_You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.,movement: Jump over 1 marble or blocker or move a marble by 1 space in any direction + pushrequirement: You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.,0.3333333333333333,18.0,6.0,0.16666666666666669
pushout_pushrequirement,"Pushed out marbles return to the center, if it is free. Else they are removed._You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.","pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.",0.3333333333333333,48.0,16.0,0.16666666666666669
movement_pushrequirement,Move 1 marble by 1 space in any direction._You can push opposing marbles if you use more marbles.,movement: Move 1 marble by 1 space in any direction. + pushrequirement: You can push opposing marbles if you use more marbles.,0.6666666666666666,12.0,8.0,0.16666666666666663
pushout_victory,"Pushed out marbles return to the center, if it is free. Else they are removed._Occupy 3 non-neighbouring goals.","pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + victory: Occupy 3 non-neighbouring goals.",0.6666666666666666,54.0,36.0,0.16666666666666663
pushout_pushrequirement,Pushed out marbles return to the center. Remove any pre-existing marble._You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,pushout: Pushed out marbles return to the center. Remove any pre-existing marble. + pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,0.6666666666666666,30.0,20.0,0.16666666666666663
movement_victory,Move 1 marble by up to 3 spaces in any direction in a straight line._Push out 3 opposing marbles.,movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + victory: Push out 3 opposing marbles.,0.3518518518518518,54.0,19.0,0.1481481481481482
