rule_type,rule_value,combination,player0_win_rate,total_games,player0_wins
movement_pushrequirement,LEAPFROG_EVEN,movement: LEAPFROG + pushrequirement: EVEN,0.5961538461538461,104.0,62.0
pushrequirement_victory,UNEVEN_ONE_OF_EACH,pushrequirement: UNEVEN + victory: ONE_OF_EACH,0.5746268656716418,134.0,77.0
pushrequirement_victory,EVEN_YOUR_COLOR,pushrequirement: EVEN + victory: YOUR_COLOR,0.574468085106383,94.0,54.0
movement_pushrequirement,MOVE_EXACTLY_2_UNEVEN,movement: MOVE_EXACTLY_2 + pushrequirement: UNEVEN,0.5514705882352942,136.0,75.0
pushrequirement_victory,FEWER_OR_MORE_YOUR_COLOR,pushrequirement: FEWER_OR_MORE + victory: YOUR_COLOR,0.55,120.0,66.0
pushout_pushrequirement,CENTER_IF_FREE_FEWER_OR_MORE,pushout: CENTER_IF_FREE + pushrequirement: FEWER_OR_MORE,0.5487804878048781,164.0,90.0
movement_pushrequirement,MOVE_EXACTLY_2_MORE,movement: MOVE_EXACTLY_2 + pushrequirement: MORE,0.5462962962962963,108.0,59.0
movement_pushrequirement,LEAPFROG_MORE,movement: LEAPFROG + pushrequirement: MORE,0.5416666666666666,144.0,78.0
pushout_pushrequirement,CENTER_IF_FREE_EVEN,pushout: CENTER_IF_FREE + pushrequirement: EVEN,0.5416666666666666,144.0,78.0
pushout_pushrequirement,CENTER_REPLACE_EVEN,pushout: CENTER_REPLACE + pushrequirement: EVEN,0.5411764705882353,170.0,92.0
movement_pushrequirement,LEAPFROG_FEWER_OR_MORE,movement: LEAPFROG + pushrequirement: FEWER_OR_MORE,0.54,100.0,54.0
pushrequirement_victory,EVEN_PUSH_OUT,pushrequirement: EVEN + victory: PUSH_OUT,0.5373134328358209,134.0,72.0
pushrequirement_victory,MORE_ANY_THREE,pushrequirement: MORE + victory: ANY_THREE,0.5288461538461539,104.0,55.0
pushout_pushrequirement,OUT_IS_GONE_MORE,pushout: OUT_IS_GONE + pushrequirement: MORE,0.525974025974026,154.0,81.0
pushrequirement_victory,MORE_OR_EQUAL_PUSH_OUT,pushrequirement: MORE_OR_EQUAL + victory: PUSH_OUT,0.5169491525423728,118.0,61.0
movement_pushrequirement,MOVE_1_FEWER_OR_MORE,movement: MOVE_1 + pushrequirement: FEWER_OR_MORE,0.5158730158730159,126.0,65.0
pushrequirement_victory,MORE_YOUR_COLOR,pushrequirement: MORE + victory: YOUR_COLOR,0.5144927536231884,138.0,71.0
movement_pushout,LEAPFROG_OUT_IS_GONE,movement: LEAPFROG + pushout: OUT_IS_GONE,0.5120967741935484,248.0,127.0
pushout_pushrequirement,CENTER_IF_FREE_MORE,pushout: CENTER_IF_FREE + pushrequirement: MORE,0.5113636363636364,176.0,90.0
push_pushrequirement,PUSH_1_EVEN,push: PUSH_1 + pushrequirement: EVEN,0.5108225108225108,462.0,236.0
pushrequirement,EVEN,pushrequirement: EVEN,0.5108225108225108,462.0,236.0
pushrequirement,MORE,pushrequirement: MORE,0.508,500.0,254.0
push_pushrequirement,PUSH_1_MORE,push: PUSH_1 + pushrequirement: MORE,0.508,500.0,254.0
movement_pushrequirement,MOVE_2_EVEN,movement: MOVE_2 + pushrequirement: EVEN,0.5073529411764706,136.0,69.0
movement_victory,LEAPFROG_YOUR_COLOR,movement: LEAPFROG + victory: YOUR_COLOR,0.5044642857142857,224.0,113.0
movement_victory,MOVE_2_ONE_OF_EACH,movement: MOVE_2 + victory: ONE_OF_EACH,0.504,250.0,126.0
movement_pushout,MOVE_2_CENTER_IF_FREE,movement: MOVE_2 + pushout: CENTER_IF_FREE,0.5035211267605634,284.0,143.0
pushrequirement_victory,MORE_PUSH_OUT,pushrequirement: MORE + victory: PUSH_OUT,0.5,130.0,65.0
pushout_pushrequirement,CENTER_REPLACE_MORE_OR_EQUAL,pushout: CENTER_REPLACE + pushrequirement: MORE_OR_EQUAL,0.5,168.0,84.0
movement_pushout,MOVE_EXACTLY_2_CENTER_REPLACE,movement: MOVE_EXACTLY_2 + pushout: CENTER_REPLACE,0.5,304.0,152.0
pushout_pushrequirement,CENTER_IF_FREE_UNEVEN,pushout: CENTER_IF_FREE + pushrequirement: UNEVEN,0.4951923076923077,208.0,103.0
pushrequirement_victory,MORE_ONE_OF_EACH,pushrequirement: MORE + victory: ONE_OF_EACH,0.4921875,128.0,63.0
pushrequirement,FEWER_OR_MORE,pushrequirement: FEWER_OR_MORE,0.49176954732510286,486.0,239.0
push_pushrequirement,PUSH_1_FEWER_OR_MORE,push: PUSH_1 + pushrequirement: FEWER_OR_MORE,0.49176954732510286,486.0,239.0
pushrequirement_victory,EQUAL_ONE_OF_EACH,pushrequirement: EQUAL + victory: ONE_OF_EACH,0.49107142857142855,112.0,55.0
movement_pushrequirement,MOVE_EXACTLY_2_EVEN,movement: MOVE_EXACTLY_2 + pushrequirement: EVEN,0.4909090909090909,110.0,54.0
movement_victory,MOVE_EXACTLY_2_ONE_OF_EACH,movement: MOVE_EXACTLY_2 + victory: ONE_OF_EACH,0.49047619047619045,210.0,103.0
pushout_victory,CENTER_IF_FREE_ONE_OF_EACH,pushout: CENTER_IF_FREE + victory: ONE_OF_EACH,0.4891304347826087,276.0,135.0
pushout_pushrequirement,CENTER_REPLACE_MORE,pushout: CENTER_REPLACE + pushrequirement: MORE,0.48823529411764705,170.0,83.0
pushout_pushrequirement,CENTER_REPLACE_UNEVEN,pushout: CENTER_REPLACE + pushrequirement: UNEVEN,0.48717948717948717,156.0,76.0
movement_victory,LEAPFROG_ANY_THREE,movement: LEAPFROG + victory: ANY_THREE,0.487012987012987,154.0,75.0
push_pushrequirement,PUSH_1_UNEVEN,push: PUSH_1 + pushrequirement: UNEVEN,0.4868421052631579,532.0,259.0
pushrequirement,UNEVEN,pushrequirement: UNEVEN,0.4868421052631579,532.0,259.0
movement_pushrequirement,MOVE_EXACTLY_2_MORE_OR_EQUAL,movement: MOVE_EXACTLY_2 + pushrequirement: MORE_OR_EQUAL,0.4864864864864865,148.0,72.0
movement_pushrequirement,MOVE_1_MORE_OR_EQUAL,movement: MOVE_1 + pushrequirement: MORE_OR_EQUAL,0.48412698412698413,126.0,61.0
pushrequirement_victory,FEWER_OR_MORE_ANY_THREE,pushrequirement: FEWER_OR_MORE + victory: ANY_THREE,0.4838709677419355,124.0,60.0
movement,LEAPFROG,movement: LEAPFROG,0.4816272965879265,762.0,367.0
movement_push,LEAPFROG_PUSH_1,movement: LEAPFROG + push: PUSH_1,0.4816272965879265,762.0,367.0
